Rk,Player,G,Age,Pos,Date,Tm,,Opp,,A,PTS,+/-,PIM,EV,PP,SH,GW,S,S%,SHFT,TOI
88,Evan Rodrigues\rodriev01,0,27-233,C,3/18/2021,PIT,@,NJD,L,0,0,-1,0,0,0,0,0,1,0,21,16:08
89,Evan Rodrigues\rodriev01,0,27-255,C,4/9/2021,PIT,@,NJD,W,0,0,-2,0,0,0,0,0,2,0,16,11:13
90,Evan Rodrigues\rodriev01,1,27-266,C,4/20/2021,PIT,,NJD,W,1,2,0,0,0,1,0,0,2,50,21,14:45
91,Bryan Rust\rustbr01,0,28-314,RW,3/21/2021,PIT,,NJD,L-OT,1,1,0,0,0,0,0,0,2,0,25,19:31
92,Bryan Rust\rustbr01,0,28-335,RW,4/11/2021,PIT,@,NJD,W,2,2,1,0,0,0,0,0,0,,29,21:01
93,Bryan Rust\rustbr01,1,28-311,RW,3/18/2021,PIT,@,NJD,L,0,1,1,2,1,0,0,0,2,50,25,21:20
94,Bryan Rust\rustbr01,1,28-344,RW,4/20/2021,PIT,,NJD,W,1,2,0,0,1,0,0,0,3,33.3,24,20:28
95,Bryan Rust\rustbr01,1,28-313,RW,3/20/2021,PIT,@,NJD,W,0,1,0,0,0,1,0,1,3,33.3,25,18:34
96,Bryan Rust\rustbr01,2,28-333,RW,4/9/2021,PIT,@,NJD,W,1,3,1,0,1,1,0,0,2,100,24,20:30
97,Colton Sceviour\scevico01,0,32-000,C,4/20/2021,PIT,,NJD,W,0,0,0,0,0,0,0,0,1,0,13,8:56
98,Colton Sceviour\scevico01,0,31-334,C,3/20/2021,PIT,@,NJD,W,0,0,0,0,0,0,0,0,2,0,16,11:48
99,Colton Sceviour\scevico01,0,31-335,C,3/21/2021,PIT,,NJD,L-OT,0,0,0,0,0,0,0,0,1,0,16,12:12
100,Colton Sceviour\scevico01,0,31-332,C,3/18/2021,PIT,@,NJD,L,0,0,0,0,0,0,0,0,1,0,12,8:10
101,Colton Sceviour\scevico01,1,31-354,C,4/9/2021,PIT,@,NJD,W,0,1,0,0,1,0,0,0,1,100,15,10:54
102,Colton Sceviour\scevico01,2,31-356,C,4/11/2021,PIT,@,NJD,W,0,2,1,0,2,0,0,0,3,66.7,21,12:36
103,Brandon Tanev\tanevbr01,0,29-077,LW,3/18/2021,PIT,@,NJD,L,1,1,0,0,0,0,0,0,2,0,23,16:40
104,Radim Zohorna\zohorra01,0,24-347,F,4/11/2021,PIT,@,NJD,W,0,0,1,0,0,0,0,0,0,,15,7:56
105,Radim Zohorna\zohorra01,0,24-345,F,4/9/2021,PIT,@,NJD,W,0,0,0,2,0,0,0,0,0,,17,12:57
106,Jason Zucker\zuckeja01,0,29-085,LW,4/11/2021,PIT,@,NJD,W,0,0,0,0,0,0,0,0,0,,18,13:27
107,Jason Zucker\zuckeja01,0,29-094,LW,4/20/2021,PIT,,NJD,W,1,1,1,0,0,0,0,0,3,0,21,14:54
108,Jason Zucker\zuckeja01,0,29-083,LW,4/9/2021,PIT,@,NJD,W,0,0,-2,0,0,0,0,0,0,,15,11:30
